year,prod_area_id,prod_area_name,prod_area_name2,N_discharge_ton,P_discharge_ton
2019,12,Vest-Finnmark,12: Vest-Finnmark,475.6876611878781,42.71421547256376
2019,13,Øst-Finnmark,13: Øst-Finnmark,473.5,42.3
2020,1,Svenskegrensen - Jæren,1: Svenskegrensen - Jæren,NA,NA
2020,2,Ryfylke,2: Ryfylke,NA,NA
2020,3,Karmøy - Sotra,3: Karmøy - Sotra,NA,NA
2020,4,Sotra - Stadt,4: Sotra - Stadt,NA,NA
2020,5,Stad - Hustadvika,5: Stad - Hustadvika,NA,NA
2020,6,Nordmøre - Sør-Trøndelag,6: Nordmøre - Sør-Trøndelag,1532.4379902498886,175.3255194512329
2020,7,Nord-Trøndelag - Bindal,7: Nord-Trøndelag - Bindal,1611.4661364760261,181.21020997703826
2020,8,Helgeland - Bodø,8: Helgeland - Bodø,1147,148.6
2020,9,Vestfjorden - Vesterålen,9: Vestfjorden - Vesterålen,NA,NA
2020,10,Andfjorden - Senja,10: Andfjorden - Senja,NA,NA
2020,11,Kvaløya - Loppa,11: Kvaløya - Loppa,NA,NA
2020,12,Vest-Finnmark,12: Vest-Finnmark,NA,NA
2020,13,Øst-Finnmark,13: Øst-Finnmark,NA,NA
