"","municip_number","location_number","latlon","sea_temperature","sitting_lice","moving_lice","adult_females","year","month","date","prod_area_id","prod_area_name"
"132","2012",10815,"(-999.0,-999.0)",NA,NA,NA,NA,2008,5,1,12,"Vest-Finnmark"
"133","2012",10815,"(-999.0,-999.0)",5.02,NA,0,0,2008,6,1,12,"Vest-Finnmark"
"134","2012",10815,"(-999.0,-999.0)",8.13,NA,0,0,2008,7,1,12,"Vest-Finnmark"
"135","2012",10815,"(-999.0,-999.0)",11.44,NA,0,0,2008,8,1,12,"Vest-Finnmark"
"136","2012",10815,"(-999.0,-999.0)",10.46,NA,0,0,2008,9,1,12,"Vest-Finnmark"
"137","2012",10815,"(-999.0,-999.0)",8.89,NA,0,0,2008,10,1,12,"Vest-Finnmark"
"138","2012",10815,"(-999.0,-999.0)",8.66,NA,0,0,2008,11,1,12,"Vest-Finnmark"
"139","2012",10815,"(-999.0,-999.0)",2.62,NA,0,0,2009,6,1,12,"Vest-Finnmark"
"140","2012",10815,"(-999.0,-999.0)",8.52,NA,0,0,2009,7,1,12,"Vest-Finnmark"
"141","2012",10815,"(-999.0,-999.0)",10.34,NA,0,0,2009,8,1,12,"Vest-Finnmark"
"142","2012",10815,"(-999.0,-999.0)",12.68,NA,0,0,2009,9,1,12,"Vest-Finnmark"
"143","2012",10815,"(-999.0,-999.0)",9.25,NA,0.25,0,2009,10,1,12,"Vest-Finnmark"
"144","2012",10815,"(-999.0,-999.0)",8.36,NA,0,0,2009,11,1,12,"Vest-Finnmark"
"145","2012",10815,"(-999.0,-999.0)",7.68,NA,0,0,2009,12,1,12,"Vest-Finnmark"
"146","2012",10815,"(-999.0,-999.0)",6.21,NA,0,0,2010,1,1,12,"Vest-Finnmark"
"147","2012",10815,"(-999.0,-999.0)",4.3,NA,0,0,2010,2,1,12,"Vest-Finnmark"
"148","2012",10815,"(-999.0,-999.0)",NA,NA,NA,NA,2010,3,1,12,"Vest-Finnmark"
"149","2012",10815,"(-999.0,-999.0)",NA,NA,NA,NA,2010,4,1,12,"Vest-Finnmark"
"150","2012",10815,"(-999.0,-999.0)",NA,NA,NA,NA,2010,5,1,12,"Vest-Finnmark"
"151","2012",10815,"(-999.0,-999.0)",4.89,NA,0,0,2010,6,1,12,"Vest-Finnmark"
"152","2012",10815,"(-999.0,-999.0)",8.31,NA,0,0,2010,7,1,12,"Vest-Finnmark"
"153","2012",10815,"(-999.0,-999.0)",9.13,NA,0.1,0,2010,8,1,12,"Vest-Finnmark"
"154","2012",10815,"(-999.0,-999.0)",11.92,NA,0.25,0.05,2010,9,1,12,"Vest-Finnmark"
"155","2012",10815,"(-999.0,-999.0)",8.7,NA,0.2,0.05,2010,10,1,12,"Vest-Finnmark"
"156","2012",10815,"(-999.0,-999.0)",7.83,NA,0.2,0.2,2010,11,1,12,"Vest-Finnmark"
"157","2012",10815,"(-999.0,-999.0)",6.74,NA,0.4,0.15,2010,12,1,12,"Vest-Finnmark"
"158","2004",10834,"(-999.0,-999.0)",5.43,NA,0,0,2005,2,1,12,"Vest-Finnmark"
"159","2004",10834,"(-999.0,-999.0)",4.9,NA,0,0,2005,3,1,12,"Vest-Finnmark"
"160","2004",10834,"(-999.0,-999.0)",4.23,NA,2,1,2005,4,1,12,"Vest-Finnmark"
"161","2004",10834,"(-999.0,-999.0)",4.31,NA,2,1,2005,5,1,12,"Vest-Finnmark"
"162","2004",10834,"(-999.0,-999.0)",5.29,NA,0,0,2005,6,1,12,"Vest-Finnmark"
"163","2004",10834,"(-999.0,-999.0)",7.63,NA,1,1,2005,7,1,12,"Vest-Finnmark"
"164","2004",10834,"(-999.0,-999.0)",10.4,NA,5,0,2005,8,1,12,"Vest-Finnmark"
"165","2004",10834,"(-999.0,-999.0)",10.7,NA,3,2,2005,9,1,12,"Vest-Finnmark"
"166","2004",10834,"(-999.0,-999.0)",10.6,NA,4,1,2005,10,1,12,"Vest-Finnmark"
"167","2004",10834,"(-999.0,-999.0)",5.39,NA,0,0,2007,6,1,12,"Vest-Finnmark"
"168","2004",10834,"(-999.0,-999.0)",7.64,NA,0.8,0,2007,7,1,12,"Vest-Finnmark"
"169","2004",10834,"(-999.0,-999.0)",9.3,NA,0,0,2007,8,1,12,"Vest-Finnmark"
"170","2004",10834,"(-999.0,-999.0)",10.69,NA,0,0,2007,9,1,12,"Vest-Finnmark"
"171","2004",10834,"(-999.0,-999.0)",9.82,NA,0.5,0.5,2007,10,1,12,"Vest-Finnmark"
"172","2004",10834,"(-999.0,-999.0)",8.7,NA,2,0,2007,11,1,12,"Vest-Finnmark"
"173","2004",10834,"(-999.0,-999.0)",7.28,NA,0,0,2007,12,1,12,"Vest-Finnmark"
